Initiative or tool related to an academic OS rewarding mechanism,Brief outline of OS activities rewarded,For whom,Url,Type of rewarding,"Notes
N/S = not specified"
Wellcome Trust Open Access block grant funding ,Support of reasonable open access publishing costs for research papers (costs of open access publishing in subscription journals are not covered),several UK universities,https://wellcome.org/grant-funding/guidance/open-access-guidance/open-access-funding,financial,Funding of APCs in fully open access journals or platforms and until 31 December 2024 in cOAlition S approved transformative journals.
UKRI's Open Access Funds,Support of open access publication costs for research articles and long-form publications like monographs,UK research organisations,https://www.ukri.org/manage-your-award/publishing-your-research-findings/open-access-funding-and-reporting/,financial,
NASA Open Science funding opportunities,Focus on open source tools/software,NASA researchers,https://science.nasa.gov/researchers/open-science/nasa-open-science-funding-opportunities/ ,financial,
French National Fund for Open Science,Various OS acitivites (each call for projects specifies priorities),French institutions or foreign actors having a significant impact on the French open science landscape and whose governance is based on a significant French contribution,"https://www.ouvrirlascience.fr/national-fund-for-open-science/#:~:text=The%20French%20National%20Fund%20for,contributions%20from%20associations%20and%20foundations",financial,
Ireland’s National Open Research Forum (NORF) Open Research Fund,Supports of various OS activities (each call for projects specifies priorities),Irish organisation/institution/entity as the Lead Institution; other organisations can participate as Partner Institutions (there is no limit on the number of Partner Institutions),https://norf.ie/norfs-open-research-fund-2023-aims-to-recognise-and-reward-researchers-advancing-open-research-in-ireland/,financial,
NWO Open Science Fund (The Netherlands),"Support of various Open Science activities. Particularly encouraged are projects that: improve how good open science practice is recognised and rewarded, transform the way researchers publish, further the adoption of citizen science approaches etc.",All researchers (not clear),https://www.nwo.nl/en/researchprogrammes/open-science/open-science-fund,financial,
Netherlands eScience center Fellowship Programme,Promotes the visibility and best practices in open research software (irrelevant of discipline),Applicants should be based in the Netherlands,https://www.esciencecenter.nl/fellowship-programme/,financial,
Performance-oriented funding at the Charité (Germany),"Starting from 2019, Charité researchers receive additional performance-oriented funding if they openly shared the data underlying their article publications. At the Charité, this funding is distributed as part of the LoM (Leistungsorientierte Mittelvergabe). ",Charité researchers,https://www.bihealth.org/en/quest/service/service/open-data,N/S,"Section ""How will I be recognized for sharing data?"""
